Text,Type
all five major academy awards,Award
pay no attention to that man behind the curtain,Quote
related to the usa military s dolittle raid on japan during world war ii,Plot
badges we ai n t got no badges we do n t need no badges i do n t have to show you any stinking badges,Quote
academy award nomination for best actor,Award
walter pidgeon,Actor
loosely based on the tempest by william shakespeare,Relationship
book by arthur laurents,Origin
two people from nyc in rival gangs who fall in love,Plot
a boy under a spell,Plot
produced by,Plot
italian film,Genre
the struggles of a disillusioned journalist in rome won the,Plot
palme d or golden palm,Award
british musical chrysanthemum,Origin
an army major who has to train 12 convicted murderers to assassinate wwii german soldiers,Plot
legend,Opinion
george a romero,Director
a group of individuals that trapped inside a farmhouse during a zombie invasion,Plot
group of knights searching for a religious relic,Plot
prolific american general from world war ii,Plot
military classic,Genre
franklin j schaffner,Director
plot about drug smuggling in new york city,Plot
bleak future,Plot
adapted from a novel by anthony burgess,Origin
tis but a scratch,Quote
arthur king of the britons looking for knights to sit with him at camelot he finds many knights including sir galahad the pure sir lancelot the brave the quiet sir bedevere and sir robin the not quite so brave as sir lancelot,Plot
a warlord and his three sons,Plot
french historical drama film,Genre
yves montand,Actor
based on a novel by marcel pagnol,Origin
american romantic fantasy,Genre
a day in the life of two regular guys,Plot
nominated for the oscar for best picture,Award
won oscars for best picture director best actress,Award
clarice starling,Character_Name
hannibal lector,Character_Name
novel by thomas harris,Origin
hannibal lecter,Character_Name
the harsh realities of l a s south central neighborhood,Plot
classic bram stoker story of a deadly vampire who comes to terrorize england,Plot
first installment in the series,Relationship
a mysterious masked hooded killer,Plot
spike jonze,Director
teen horror,Genre
a teen who averts a tragic accident only to discover that death will always get its way,Plot
jazz era stage musical,Origin
catherine zeta jones ren e zellweger,Actor
queen latifa,Actor
two beautiful women on death row for killing their lovers and now fighting for their own lives,Plot
based on the life of,Origin
aileen wuornos,Character_Name
a daytona beach prostitute who became a serial killer,Plot
brings together the two biggest characters of slasher films for a showdown,Plot
robot,Plot
nominated for 6 academy awards,Award
the second published fourth chronological novel in c s lewis s epic fantasy series,Origin
the rise from poverty in a third world setting through a famous game show,Plot
a lonely old man who seeks adventure by flying his house to the jungle where he finds both danger and friendship,Plot
based on the 1980 s and real life story of con artist steven jay russell,Origin
popular children s series,Origin
a tsa employee who somehow catches the eye of a beautiful woman,Plot
documents two years of work by brazilian contemporary modern artist vik muniz,Plot
top student finding ways to use the rumor mill to boost her social status,Plot
angela jolie,Actor
cia agent on the run after she is accused of being a russian spy,Plot
john malkovich,Actor
story of a horse trying to win the triple crown against all odds,Plot
timothy olyphant,Actor
the sheriff of an iowan town where many inhabitants are contaminated by a toxin that turns them violently psychotic,Plot
zachary levi,Actor
science fiction movie,Genre
partners who reclaim artificial organs,Plot
wall street sequel,Relationship
shia labeauf michael douglas,Actor
of a 1969,Origin
henry hathaway,Director
film by the same name,Origin
based off a book by charles portis,Origin
australian film institute award for best screenplay,Award
follows the disasters surrounding the wedding of the main characters best friend,Plot
william shakespeare tragedy of young lovers,Origin
during ancient greece where a man is chosen by zeus to fight an evil king,Plot
a young wizard and his two friends trying to find the remaining horcruxes to stop a dark wizard,Plot
an aspiring writer in the 1960 s who decides to write a book from the maids point of view,Plot
british classic,Genre
simon pegg,Actor
nick frost,Actor
two comic book lovers,Plot
gabriele muccino,Director
story of a former sports star who s fallen on hard times and starts coaching his son s soccer team,Plot
adam,Character_Name
11 academy award nominations,Award
best picture and best director,Award
catherine o hara,Actor
burton,Director
karl urban,Actor
about teenagers in a killing arena,Plot
try to reconstruct their relationship after a horrible accident,Plot
the science fiction works of jules verne,Origin
takes place on mars,Plot
a mother and son road trip,Plot
girl possessed by a demon,Plot
diane keaton goldie hawn,Actor
three women who vow revenge on their philandering husbands,Plot
brothers who compete in a ufc fighting competition,Plot
princess leia luke skywalker hans solo wookies,Character_Name
adaptation of an amy tan novel,Origin
depicts the lives of four chinese immigrant families,Plot
animated classic,Genre
woman raised by a wolf god,Plot
a scientist who misses his son so much that he builds a replica,Plot
a bad guy who just ca n t seem to get it right,Plot
animated japanese language,Genre
departure,Opinion
studio ghibli,Director
depicts an orphaned brother and sister trying to survive in kobe japan following the bombing of the city,Plot
dancing penguins who get trapped by an iceberg in emperor land,Plot
children s book,Origin
forest creature,Plot
australian sci fi,Genre
takes place in a post apocalyptic world where law enforcement has seemingly little boundaries the officer spends most of his time hunting down a troublesome biker gang,Plot
baseball,Genre
lou gehrig,Character_Name
as he stoically finishes his baseball career while succumbing to his namesake disease,Plot
beautiful,Opinion
visual,Opinion
a man who searches for his wife in the afterlife after dying in a car crash,Plot
to win best picture,Award
biographical drama,Genre
the story of brilliant mathmetician john nash,Plot
playing an elephant in a dr seuss story where he thinks flowers are talking to him,Plot
cgi,Genre
a modern day retelling of the classic fairy tale rapunzel,Plot
civil war period,Genre
scarlett,Character_Name
as she deals with the war and growing up,Plot
don siegel,Director
abandons the novel s ending of the aliens giving up on their world domination plot and returning home,Plot
adaptation of william peter blatty s novel,Origin
demonic possession had heads turning in more ways than one,Plot
classic american drama,Genre
the story of two brothers entering a mixed martial arts competition who are both trying to beat their past,Plot
an over the hill coach and his attempt to turn around a flailing high school team set in indiana,Plot
the marx brothers,Actor
the life of t e lawrence and his odd military career,Plot
a santa claus who is deemed insane a lawyer defends him in court arguing he is indeed the real thing,Plot
john belushi,Actor
a motley college fraternity and its efforts to remain an active fraternity despite the rest of the college s discontentment,Plot
opens with a snow globe shattering and a man repeating the word rosebud,Plot
classic idealistic,Opinion
political,Genre
utilizing the parliamentary procedure known as a filibuster,Plot
tradition for families,Opinion
you ll shoot your eye out,Quote
the doomed lust of two young lovers whose families are entangled in a long running fued,Plot
general that orders a nuclear strike on soviet russia against the president s orders the president and his office will then try to avoid a nuclear apocalypse,Plot
classic old musical,Genre
transition of silent films to talking films,Plot
romance between a young man and an elderly woman,Plot
rodney dangerfield,Actor
golf,Plot
laugh out loud,Opinion
gophers included,Plot
cleavon little,Actor
an african american sheriff trying to gain acceptance in a small western town,Plot
the leader of the republic of wadiya visiting new york city for a discussion about his nuclear weapons program,Plot
computer animated comedy drama,Genre
hayden panettiere,Actor
wolves in canada,Plot
cop comedy remake,Genre
the coen brothers,Director
after their film fargo was nominated for 7,Relationship
focuses on the cold war,Plot
life of a baby deer who loses his mother and is left alone,Plot
a boy who defies what is expected of him and finds an unusual pet to help change how his town feels about certain creatures,Plot
based on herman melville s famous literary work,Origin
detailing the exploits of a ship captain on his whaling vessel,Plot
coppola,Director
mafia told the dual stories of a father and son and their respective rises in the mob,Plot
true story of the undersized depression era racehorse,Plot
spaghetti western,Genre
a story being told by a grandfather to his grandson,Plot
fred savage,Actor
based on a popular book by author roald dahl,Origin
trio of bumbling brothers trying to save an orphanage,Plot
feature length film adaptation,Relationship
a bear that steals picnic baskets,Plot
after which famous hanna barbara character,Origin
nuclear war,Plot
small town basketball in indiana,Plot
book by alex haley,Origin
traces the roots of a dynamic black activist through his rise in the black power movement and ultimate questionable assassination,Plot
british black and white comedy,Genre
richard lester,Director
john lennon paul mccartney george harrison,Actor
ringo starr,Actor
classic novel written by ray bradbury,Origin
about a world in which books are burned,Plot
lesser known aspects of the holocaust,Plot
first of the original trilogy,Relationship
story of,Plot
the rise and fall of his power,Plot
story to destroy a simple ring,Plot
podracing tournament a decoy queen and the introduction,Plot
jar jar binks,Character_Name
this film put disco dancing on the map,Opinion
a man whose job is to deliver packages without asking any questions complications arise when he breaks those rules,Plot
zach galifiankis,Actor
group of men who invite losers for dinner,Plot
the last surviving son in wwii and the mission deployed to find him and get him home,Plot
fourth in a popular series,Relationship
charles dickens classic,Origin
mr ebenezer scrooge,Character_Name
based on a play called the beggers are coming to town,Origin
the fourth installment in a popular series of movies,Relationship
dance,Plot
set in miami,Plot
second sequel,Relationship
pixar studios,Director
this first installment of a trilogy,Relationship
martin freeman,Actor
a very small creature who lives in the shire,Plot
retelling,Origin
shakespearian classic,Origin
star crossed lovers as animated lawn decorations,Plot
music of elton john,Soundtrack
lovable animal and his friends,Plot
hitchock,Director
a crazy son and what he does in his motel,Plot
hong kong arthouse,Genre
wong kar wai,Director
is n t about two lovers cheating on their spouses it s about their spouses,Plot
a social worker who takes a ten year old girl from her abusive household only to discover the girl is a killer,Plot
an angel named,Plot
clarence,Character_Name
to restore our faith in humanity,Plot
based upon the very first published novel by stephen king,Origin
book by roald dahl,Origin
adapted,Origin
william peter blatty from his 1971 novel of the same,Origin
american comedy drama film,Genre
about a a missouri farmer that joins a confederate guerrilla unit and winds up on the run from the union soldiers who murdered his family,Plot
the effects the vietnam war had on a group of steel workers,Plot
american dystopian science fiction action,Genre
harrison ford rutger hauer,Actor
sean young,Actor
rhi entertainment,Director
robert halmi senior and junior,Director
science fiction action adventure,Genre
carl weathers,Actor
sally field dolly parton shirley maclaine daryl hannah,Actor
inspired by chris marker s 1962 short film la jet e,Origin
bruce willis madeleine stowe,Actor
christopher plummer,Actor
david morse,Actor
about ants,Plot
satirizing work life in a typical 1990 s software company,Plot
leonardo dicaprio cameron diaz,Actor
daniel day lewis,Actor
lee unkrich,Director
living toys escaping from a daycare center,Plot
american action thriller,Genre
tony gilroy,Director
jeremy renner rachel weisz,Actor
james watkins,Director
nicholas stoller,Director
couple whose relationship becomes strained when their engagement is continually extended,Plot
she where s that white dress and it blow up around her,Plot
american holiday fantasy comedy,Genre
about one of the actors who hates a certain gift giving holiday,Plot
black thoroughbred horse rescued and nurtured by a young boy after the pair are stranded on a desert island following a shipwreck,Plot
the dinosaur and a man makes it into a theme park,Plot
this one guy and his band as he is sent to fight his love interests evil exes,Plot
based on a popular book from a series by c s lewis,Origin
his strange sense of time,Plot
stoner comedy,Genre
a guy walks around in pajamas and wear a robe around,Plot
a macaw bird that takes the trip his dreams,Plot
animated tale,Genre
blue macaw named blu who is sent to south america to mate with another macaw named jewel and falls madly in love with her,Plot
shakespearean tale,Origin
set out on the front lawn in the suburbs,Plot
israeli animated,Genre
a man and his memories from the war,Plot
daniel day lewi s,Actor
oil tycoon,Plot
a scarred wizard,Plot
first movie adaptation,Relationship
book series by j k rowling,Origin
last of eight movies,Relationship
based on the book series by j k rowling,Origin
a god before he becomes a super hero,Plot
sci fi trilogy,Genre
protagonist losing his hand and finding out the antagonist is his father,Plot
a nerd turned comic book avenger who recruits a few other teenagers to fight crime despite their lack of skills,Plot
third movie in this franchise of films,Relationship
involving a band of little rodents,Plot
italian thriller,Genre
an insurance investigator investigating the murder of a wealthy widow,Plot
british super spy,Plot
the saga of humans who interact with the species of another planet and must interact or fight in order to obtain a special element from the planet,Plot
depicts the janus like quality of las vegas it has a glittering glamorous face as well as a brutal cruel one,Plot
michel gondry,Director
a rich heir who decides he will fight crime,Plot
a true story,Plot
a factory owner in world war ii who helped many jewish people,Plot
dog of a family of sharecroppers who face challenges after the father is imprisoned,Plot
highly deformed man,Plot
about a violent boxer,Plot
best,Opinion
based off a book,Origin
mostly black cast talking about workers,Plot
based on the dr seuss book,Origin
a certain green fellow who tries to take the holidays from the whovians,Plot
a young boy left behind while his family goes on vacation the little boy successfully defends his house from would be robbers through the creative use of everyday household items,Plot
harvey keitel,Actor
shared vision of devil s tower wy and a five tone musical greeting,Plot
a young man who gets shipwrecked and finds an unlikely companion in a tiger,Plot
young woman on an adventure with a scarecrow a lion and a tin man,Plot
features precious little actual dialogue it s main character is a robot who learns about life and love,Plot
autobiography of a man s life as told to alex haley,Plot
arachnid superhero going toe to toe with his former professor turned nemesis,Plot
dr octopus,Character_Name
and his mechanical arms,Plot
incarnation of a norse god,Plot
a private investigator looking to get the a white man convicted of a hate crime,Plot
pre historic animals come to life from dna captured in a wad of tree resin,Plot
worse rated movie ever,Opinion
jessica biel,Actor
about a soccer player who goes home to find himself,Plot
a college dropout gets a job as a broker for an investment firm which puts him on the fast track to success but the job might not be as legitimate as it sounds,Plot
they set up a plan to rob some money trucks because their friend set up the ambush only to be betrayed by him,Plot
constant switching,Plot
and is an icon of all,Opinion
shark attack,Genre
movies,Opinion
a boy living in a train station,Plot
fighting training a little bit then more fighting and someone gets their head knocked into a water drinking fountain,Plot
silly,Opinion
they both use magic,Plot
american drama,Genre
harper lee s novel,Origin
animated musical drama,Genre
jonathan taylor thomas,Actor
hughes brothers,Director
bone chilling,Opinion
three men who at first jokingly and then realistically try to murder their bosses,Plot
prequel to the alien series,Relationship
group of astronauts seek out the creation of humanity,Plot
revolves about an irish tradition where in leap year the woman can propose to the man while chasing her future fiance she meets a guy and ends up falling in love,Plot
a small town that has outlawed dancing,Plot
a boy and a girl who discover an alien and their time together as he tries to get home,Plot
a delinquent who volunteers for experimental therapy developed by the government in an effort to solve society s crime problem,Plot
green orge,Character_Name
donkey a princess turned orge a dragon and a tiny prince,Plot
a lower class young man who wins a ticket onto a luxury steamliner he falls in love with an upper class woman but their love is cut short when the ship sinks,Plot
a man who kills others sent back in time for money,Plot
a rising executive who is invited to a dinner hosted by his work that celebrates its idiotic guests,Plot
about the cat from shrek and his adventures,Plot
the lives of three extraordinarily gifted children and their relationship with their father,Plot
a manipulative woman and a roguish man have a love affair in the american south during the civil war and reconstruction,Plot
emotionally self destructive boxer s journey as the violence and temper that gets him to the top in the ring destroys his life outside it,Plot
based off a animated show,Origin
a young man contains elemental powers to stop a certain nation,Plot
based off a cartoon,Origin
cars changing into fighting machines,Plot
novella by h g wells published in 1897,Origin
a man falls victim to his own experiment involving optics when he ca n t reverse the damage he goes on a reign of terror,Plot
book by amy tan,Origin
about a group of friends,Plot
a secret group of individuals out to assassinate those responsible for murders against israel,Plot
one of several friends whose stories of love and loss are told,Plot
portrays the rock star,Plot
first half of the two part finale,Relationship
based on seven novels written by j k rowling,Origin
wil smith,Actor
story of a business man who saves the lives of jews headed to concentration camps by hiring them to work in his factory,Plot
telling the story of a precocious fox and his sly plan,Plot
man named,Plot
henry hill,Character_Name
as he works his way up in the mob,Plot
two rival gangs the sharks and the jets and lots of prancing and snapping and wailing for maria,Plot
a zombie disaster,Plot
originally was a book,Origin
a young girl divided between her boring life and a new but scary discovered world,Plot
patty duke,Actor
anne sullivan,Character_Name
s first efforts to educate,Plot
helen keller,Character_Name
who was deaf and blind,Plot
mark walberg,Actor
numbskull police officers who make hysterical mistakes,Plot
a bunch of heavy hitters,Plot
cia agents that are no longer active but is called to duty to help find one of their friends potential assassins,Plot
an assassin who must find and kill his future self,Plot
takes place on a doomed ship,Plot
long time best friends turned friends with benefits,Plot
explored the concept of the afterlife,Plot
research chemist comes under attack when he decides to appear in a 60 minutes expose on big tobacco,Plot
a ny police detective,Plot
can you dig it,Quote
a small louisiana parish,Plot
the story of the rise of one of the internet s most used sites,Plot
richard dreyfus,Actor
encounter with ufos worker feels drawn to an isolated area in the wilderness,Plot
shirley mclain,Actor
aurora,Character_Name
emma,Character_Name
mother and daughter who march to different drummers,Plot
book originally by charles dickens,Origin
pip,Character_Name
becomes a gentleman from the rich,Plot
ms havasham,Character_Name
a rock band s successes and blunders in the world of rock and roll an exploding drummer,Plot
an american soldier s confrontation with american natives around the time of the civil war,Plot
based on phillp k dick s do androids dream of electric sheep,Origin
5 oscars,Award
follows an orphan who lives in a train station trying to find out what happened to his late father,Plot
fey dunaway,Actor
jrr tolkien s classic novel,Origin
remade multiple times,Relationship
about zombies,Plot
old time hockey,Plot
hanson brothers,Character_Name
pixar disney,Director
marlin,Character_Name
ellen degeneres,Actor
the world of monsters and their night jobs until everything is turned upside down by a curious little girl,Plot
post apocalyptic thriller,Genre
gary oldman,Actor
two men struggle to maintain possession of the last bible left in the world,Plot
jonathan demme,Director
teenage kids in a small town who just want to dance the one problem is dancing is forbidden,Plot
set on a remote planet,Plot
battling a host of dangerous extra terrestrials,Plot
risque,Genre
falls in forbidden love with his daughter s friend,Plot
rodgers and hammerstein,Director
scary horror film,Genre
based on actual events,Origin
novel by polish author stansilaw lem,Origin
sequel about hip hop dancing,Relationship
features,Plot
everyone s favorite,Opinion
joins forces with his friends to stop an evil peacock from taking over china with deadly forces,Plot
courtney cox,Actor
they try to escape the terrors of the ghostface killer,Plot
entering middle school and the fears you have it s about accepting your friends for the way you are and teaches about growing up and sometimes not always doing the right things two young boys learning about life can make for some great laughs,Plot
so funny,Opinion
with the maid of honor fighting over attention best friends can be at each other throats,Plot
in the end turn it around weddings can be great and full of laughs,Plot
spanish language,Genre
to tell the story of an isolated little girl during the 1940 s,Plot
delroy lindo,Actor
a battle of good and bad in brooklyn,Plot
takes place during the heat of summer in the bedford stuyvesant section of brooklyn ny,Plot
spy film,Genre
a felon turned spy in a most fashionable manner,Plot
the government that aims to solve society s crime problem,Plot
stanley kubrik,Director
a loan collector and minor boxer who suddenly receives a world title fight,Plot
the town of whoville and how they must overcome a mean person,Plot
this superhero did not plan on being a superhero he found a spaceship glowing green,Plot
a drug which allows the user to utilize 100 percent of his mind,Plot
video game inspired,Relationship
young man who fights his crush s evil ex boyfriends,Plot
this waitress is at a party and a toad says if she smooches him she will get money to open a restaurant,Plot
takes place deep under the ocean,Plot
eastwood,Director
a former outlaw who decides to get back in the bounty business,Plot
wildly popular,Opinion
an evil supervillian and his quest to become a hero,Plot
wwii film,Genre
oscar for best leading actor,Award
second,Relationship
three against the wilderness nothing could stop them only instinct to guide them across 200 perilous miles of canadian wilderness,Quote
three pets trying to find their way home,Plot
three backpackers head to a slovak city that promises to meet their hedonistic expectations with no idea of the hell that awaits them,Plot
three gentlemen are taken around the world as a captive of the mysterious,Plot
captain nemo,Character_Name
a baby primate being raised by it s tribe s alpha male,Plot
a man with unusually sharp body parts,Plot
about christmas but halloween characters were trying to celebrate christmas and doing a terrible job at it,Plot
wanted for murder in the future,Plot
adaptation of the phillip k dick short story of the same name,Origin
a cowboy jealous of a space man,Plot
charming,Opinion
disney pixar,Director
life is a box of chocolates,Quote
wilder,Director
grant,Actor
i do n t talk like that,Quote
traveling to paradise falls venezuela with only the power of helium,Plot
two british track athletes one a determined jew and the other a devout christian compete in the 1924 olympics,Plot
two counterculture bikers travel from los angeles to new orleans in search of america,Plot
two friends try sharing an apartment but their ideas of housekeeping and lifestyles are as different as night and day,Plot
two men the same name a missing girl and too much trouble for an aging hippy,Plot
two woman finding themselves in one hell of a mess good friends sometimes do n t make the best choices in life the car going over the cliff,Plot
two years after the bachelor party in las vegas,Plot
phil stu alan and doug,Character_Name
jet to thailand for,Plot
s wedding,Plot
unemployed and newly divorced,Plot
stephanie plum,Character_Name
lands a job at her cousin s bail bond business where her first assignment puts her on the trail of a wanted local cop from her romantic past is the plot,Plot
a talented but brooding rock star and singer,Plot
vincente minnelli,Actor
four sisters and the world s fair,Plot
real life depression era bank robbers,Plot
arthur penn,Director
bank robbing couple in this romanticized account of their career,Plot
madea,Character_Name
gore verbinski,Director
a real man who goes from peasant to a bandit cult figure,Plot
examines racial tensions in a new york city community on the hottest day of the summer,Plot
two college kids one rich one poor who fall in love,Plot
jumping into dreams of people,Plot
early 90 s,Year
river pheonix,Actor
play street hustlers,Plot
lion named simba and a bunch of singing animals,Plot
was a marine who was discharged and now lives in nyc,Plot
all those kids that she s taking care of that takes place in the alps,Plot
quinten tarantino,Director
he kills machines because they re eating their energy,Plot
a car that takes,Plot
into the past,Plot
joseph fiennes,Actor
star crossed lovers in elizabethan england,Plot
takes place in the ocean and is based on a popular board game,Plot
a young kid who interacts with dragons with his friends,Plot
with birds,Plot
classic good versus evil where the weak birds save the day,Plot
baseball movie,Genre
i consider myself the luckiest man alive,Quote
a malamud novel,Origin
color,Plot
big tornado takes a girl and her dog away,Plot
based on the life of boxer,Plot
that examines the relationships between different groups that work for a traveling circus,Plot
murder is investigated from a variety of perspectives,Plot
morocco during the war,Plot
young kansas girl who goes on an adventure in a mysterious land,Plot
about the great plains suffering from the dust bowl,Plot
bogie,Actor
bacall,Actor
mostly takes place in a hotel during a hurricane,Plot
a middle aged couple who go out for an evening and find themselves wrapped up in an adventure,Plot
spend much of the movie in women s clothing,Plot
a sister who must track down her brother in a fantastical world,Plot
plays a child murderer,Plot
a jewish ghetto in russia,Plot
charlie brown,Character_Name
the whole gang together to celebrate the holidays,Plot
young harry is magically whisked away from his abusive aunt and uncle and taken to hogwarts,Plot
funny horror,Genre
features little flesh eating fish as the main antagonists,Plot
golden globe winner,Award
a goofy cia plot to extract hidden americans from iran in 1980,Plot
heavy drama,Genre
about addiction in various forms from chemical abuse to addiction to television,Plot
becomes obsessed with a woman who has been dead a very long time,Plot
a sweet little girl and the possession that makes her not so sweet,Plot
go on an extended road trip,Plot
kubrick,Director
set in the future and involves,Plot
and his band of thugs,Plot
leisurely,Opinion
french comedy,Genre
traces the making of a fictional movie and the characters making it,Plot
a screenwriter finds the piece he s working on is coming to life,Plot
an antagonist who can shift his shape like liquid silver,Plot
a guy and his crew who go down the amazon in search of the lost city of gold,Plot
a serial killer who chooses his victims based on their infraction of one of the deadly sins,Plot
based on a 1980 s television show,Origin
a group of misfits who fight bad guys,Plot
based on a charles portis novel,Origin
a killer joining forces with a young girl,Plot
based on a ray bradbury novel,Origin
a fireman who burns books in the near future,Plot
based on a real person,Origin
who manages to transform how baseball teams are run,Plot
tom stoppard play,Origin
hamlet,Plot
a guy who is a talented con man and good at escaping prison,Plot
based on the shakespeare play,Origin
a black man who gets consumed with jealousy over his white wife,Plot
one of several in a horror series,Relationship
a group of people must escape an elaborate trap or die,Plot
based on homer s odyssey,Origin
starts in a small pennsylvania community goes to vietnam then returns,Plot
the first in a series,Relationship
a crew that lands on a planet and finds a bunch of eggs,Plot
a crazy guys owns a hotel and he dresses like his dead mother,Plot
a doctor and a housewife keep meeting at a train station and have an affair,Plot
killer is supposed to kill his future self but he does n t,Plot
a man is obsessed with visions of a mesa in the sw united states and his wife thinks he s going insane,Plot
mild mannered man must use violence to protect his home from an invasion,Plot
must save the world from an alien invasion,Plot
gets bit by an animal and transform whenever there s a full moon,Plot
cartoons mix with the real world and there s a really sexy cartoon red head,Plot
working woman who decides to get a law degree so she can defend her brother,Plot
ruin their friendship by having sex,Plot
a pool hustler who matches his skills against,Plot
jackie gleason,Actor
title,Origin
yeats poem,Origin
based on a cormac mccarthy novel,Origin
an awful person with a job in a high school,Plot
aging rock star and his chance for a comeback,Plot
kansas girl in love with him,Plot
bring in a loser to a dinner,Plot
written by the guy that writes the family guy show,Relationship
has that big stuffed bear,Plot
the education of a poor flower girl,Plot
based on shaw s pygmalion,Origin
woman and deals with integration on a 1960 s teen dance tv show,Plot
shakespeare s romeo and juliet,Origin
based on the life of broadway star fanny brice,Origin
super intelligent alien discovers that after defeating his lifelong enemy his evil is valueless without a hero to fight and in turn creates another to challenge him,Plot
janet leigh,Actor
has the,Plot
shower scene,Plot
nick and nora charles,Character_Name
reveal the identity of the murderer,Plot
with the arrival of aliens on earth,Plot
an elephant and a speck on a flower,Plot
participates in a prison break from a nazi pow camp in world war ii,Plot
a girl and she falls for a man,Plot
based on the jane austen novel,Origin
he falls for a girl,Plot
marvel superhero who carried a hammer,Plot
tracks down union soldiers who murdered his wife and kid,Plot
where everyone is talking about a nonexistent criminal mastermind,Plot
kaiser sosa,Character_Name
imprisoned in the south and forced to work on a chain gang,Plot
peter fonda,Actor
plays a character named,Plot
captain america,Character_Name
and rides a motorcycle across the country,Plot
little girl who has buttons sown on her eyes by her mom,Plot
tale of the sorcerer s apprentice,Plot
playing the apprentice,Plot
a ballerina who is attempting to preform a famous dance,Plot
kate hepburn,Actor
bogart,Actor
float down a river,Plot
steve buscemi,Actor
a boy and his recently dead dog,Plot
peckinpah,Director
that begins with a small town getting wiped out in a shootout between authorities and thieves,Plot
documentary comedy,Genre
a film crew following around a man who wants to be a villain from horror movie,Plot
pseudo documentary comedy classic,Genre
fictional heavy metal band who sings songs like big bottom,Plot
re telling of the beauty and the beast story,Relationship
road trip,Plot
a mismatched pair travel across the country for the birth of a child,Plot
has to take a chainsaw to his own possessed hand,Plot
loosely based on the life of boxer jake lamotta,Origin
a dinosaur skeleton falling apart,Plot
screwball masterpiece,Opinion
second movie in the series,Relationship
a group of weird looking but lovable creatures traveling across some mythical land,Plot
slasher film,Genre
early eighties,Year
concerns a mysterious killer who turns out to be a man,Plot
chronicles a virus that sweeps over the world and the effort to combat it,Plot
police drama,Genre
weakling with a strong moral character who undergoes a treatment to possess superhuman strength,Plot
a virus that makes its way around the world,Plot
an ex slave who teams up with a bounty hunter,Plot
the doomed love between two bank robbers during the great depression,Plot
finds himself going back in time and meeting famous people,Plot
often thought to be the,Opinion
recorded,Opinion
science fiction silent film,Genre
a dystopian society in which a visionary woman is replaced by a robot double,Plot
crime movie,Genre
tale of a young man who reaches the top of the local criminal element,Plot
that uncontrolled farming in the american central region caused the dust bowl,Plot
pare lorenz,Director
about the uncontrolled agriculture in the u s,Plot
adapted from the grimm fairy tale,Origin
full length animated,Genre
as a working class woman who married well,Plot
capra,Director
jean arthur,Actor
a fight against political corruption,Plot
shows a group of people traveling with a constant threat of indians,Plot
victor fleming,Director
a girl swept away to a magical land,Plot
a wooden puppet that wants to become a real boy,Plot
newspaper editor,Plot
rosalind russell,Actor
ex wife,Plot
omler the jewish barber,Character_Name
roddy mcdowell,Actor
the bond between,Plot
joe carraclough,Character_Name
and his beloved dog,Plot
story of four sisters who reluctantly move to new york,Plot
young women learning lessons of life and love as they move to new york,Plot
jane wyman,Actor
a boy who adopts a young deer,Plot
concerned a man who claimed to be santa claus a claim that was ultimately resolved in court,Plot
humphey bogart,Actor
is the story of gold prospectors digging in mexico,Plot
irving berlin,Director
lauren bacall,Actor
hurricane at a tropical hotel as a backdrop,Plot
a crazy criminal who breaks out of prison,Plot
an artistic director hired for a new broadway musical,Plot
a paranoid man,Plot
movie depicts him as a wanna be criminal named rocky graziano,Plot
marilyn monroe tony curtis,Actor
members of an all female band,Plot
fred mcmurray,Actor
a boy who has a spell cast upon him turning him into an animal,Plot
federico fellini opus,Director
a paparazzo living and working in rome,Plot
young woman stop at the bates motel ran,Plot
young socialite who becomes interested in a young man who moves into her building,Plot
story of d day from both the allied and german points of view,Plot
the stalking and brutal murders of various scantily clad fashion models,Plot
agent 007,Character_Name
james bond franchise,Relationship
woman who leaves an austrian convent to become a governess to the children of a naval officer who had been widowed,Plot
michelangelo,Character_Name
pope julius ii,Character_Name
a nurse put in charge of an actress who ca n t talk,Plot
united states army major,Plot
the plight of inmates at the bridgewater state hospital for the criminally insane,Plot
british horror,Genre
vincent price,Actor
hunting spell casting women during the english civil war,Plot
sci fi horror,Genre
a group of people hiding from zombies in a farm house,Plot
depicted a spaceship s computer named hal 9000,Plot
explores the vastness of space and time,Plot
a group of aging outlaws looking for one last big score,Plot
korean war era army field hospital,Plot
americans living in rome,Plot
telly savalas,Actor
us soldiers trying to find nazi treasure,Plot
novel by mark harris,Origin
coming of age,Genre
a medium helping a man solve a series of murders,Plot
a man that has been admitted to a mental institution,Plot
a different set of jaws,Quote
terry gilliman,Director
satirical comedy,Genre
knights who say ni,Character_Name
a mentally unstable vietnam war veteran,Plot
dramatization of a world war ii battle that turned out to be the turning point of the war,Plot
won three academy awards,Award
a legendary general leading the american forces in the pacific theater during world war ii,Plot
darth vader,Character_Name
best actress in a leading role oscar,Award
michael cimino,Director
a toga wearing college student in 1962,Plot
1980 s and 1990 s,Year
peter keller,Actor
have fun stormin,Quote
the castle,Quote
mawwage,Quote
a boy named eliot trying to get his new found friend home,Plot
luke skywalker han solo,Character_Name
an archaeologist and adventurer,Plot
karen allen,Actor
as his love interest and sidekick,Plot
alien life form that had a fondness for a trail of reese s pieces,Plot
a novel writer involved in the investigation of the disappearance of a san francisco actress,Plot
as a criminal,Plot
as a hard nosed cop,Plot
first to,Relationship
feature the adventures of the fictional griswold family,Plot
titular composer who is featured in various flashbacks,Plot
as a man who travels the country with his wife in a winnebago,Plot
jareth the goblin king,Character_Name
jennifer connelly,Actor
